Territory,Territory_name,2020B_amount
AFG,Afghanistan,111335
ARG,Argentina,121813
AUT,Austria,190725
BDI,Burundi,67539
BEL,Belgium,212014
BEN,Benin,57683
BFA,Burkina Faso,62684
BGR,Bulgaria,52905
BHR,Bahrain,50421
BIH,Bosnia and Herzegovina,47541
BOL,Bolivia,59001
BRA,Brazil,132161
BWA,Botswana,49186
CAF,Central African Republic,60144
CAN,Canada,186538
CHE,Switzerland,162788
CHL,Chile,117609
CHN,China,630946
CIV,Cote d'Ivoire,54863
CMR,Cameroon,46683
COL,Colombia,130094
CZE,Czech Republic,142805
DEU,Germany,889485
DJI,Djibouti,35770
DNK,Denmark,46820
DOM,Dominican Republic,44138
DZA,Algeria,137445
ECU,Ecuador,117797
EGY,Egypt,246051
ERI,Eritrea,55239
ESP,Spain,161318
ETH,Ethiopia,233364
FIN,Finland,41344
FRA,France,547573
GBR,United Kingdom,379519
GHA,Ghana,138563
GNQ,Equatorial Guinea,44078
GRC,Greece,112045
GTM,Guatemala,43850
HRV,Croatia,52183
HUN,Hungary,144603
IDN,Indonesia,126699
IND,India,198390
IRL,Ireland,150969
ISR,Israel,128236
ITA,Italy,564256
JOR,Jordan,54005
JPN,Japan,125449
KEN,Kenya,170311
KWT,Kuwait,55692
LBN,Lebannon,57138
LBY,Libya,54430
LKA,Sri Lanka,121664
LSO,Lesotho,41330
MAR,Morocco,119590
MDG,Madagascar,118845
MEX,Mexico,122870
MMR,Myanmar,112696
MOZ,Mozambique,43845
MUS,Mauritius,57246
MWI,Malawi,47543
MYS,Malaysia,114302
NAM,Namibia,62912
NER,Niger,125365
NGA,Nigeria,126704
NLD,Netherlands,219148
NOR,Norway,48419
PAK,Pakistan,115677
PAN,Panama,52341
PER,Peru,107495
PHL,Philippines,122964
POL,Poland,164036
PRI,Puerto Rico,41797
PRT,Portugal,165162
PRY,Paraguay,56984
ROU,Romania,160133
RWA,Rwanda,118407
SAU,Saudi Arabia,128934
SEN,Senegal,43875
SGP,Singapore,46598
SLE,Sierra Leone,119324
SOM,Somalia,113783
SRB,Serbia,119336
SVK,Slovak Republic,115441
SVN,Slovenia,48970
SWE,Sweden,53672
TCD,Chad,61406
TGO,Togo,53922
THA,Thailand,119190
TTO,Trinidad and Tobago,40183
TUN,Tunisia,57369
TUR,Turkey,126675
TWN,Taiwan,130174
TZA,Tanzania,111237
URY,Uruguay,55101
USA,United States,938022
VEN,Venezuela,113541
VNM,Vietnam,119687
ZAF,South Africa,124011
ZMB,Zambia,52907
ZWE,Zimbabwe,53658
